referrer,views_total,views_unique
github.com,170,29
Google,58,28
cncf.io,26,12
openfeature.dev,25,4
gist.github.com,11,1
contribute.cncf.io,7,3
mail.google.com,5,2
v2ex.com,4,1
statics.teams.cdn.office.net,3,3
desflow.nyc.deshaw.com,2,1
