url_path,views_total,views_unique
/open-feature/spec,178,153
/open-feature/spec/tree/main/specification,31,25
/open-feature/spec/pull/299,25,2
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,12,10
/open-feature/spec/blob/main/specification/types.md,11,7
/open-feature/spec/blob/main/specification/sections/02-providers.md,10,6
/open-feature/spec/releases/tag/v0.8.0,7,7
/open-feature/spec/issues,7,6
/open-feature/spec/tree/main/specification/sections,7,4
/open-feature/spec/issues/82,6,4
