referrer,views_total,views_unique
github.com,73,23
Google,46,18
cncf.io,11,9
dt-rnd.atlassian.net,5,2
contribute.cncf.io,4,3
chatgpt.com,4,2
pkg.go.dev,3,2
unduck.link,3,1
Bing,2,2
euc-word-edit.officeapps.live.com,2,1
